,Evaluation Cost,Evaluation Accuracy,Train Cost,Train Accuracy
0,2.4154703864644183,6793,2.4002964624860206,2038
1,1.6395475721972945,8063,1.6186245458305535,2417
2,1.3512239797087717,8460,1.324697453631367,2563
3,1.1855111241198588,8641,1.1497026341365932,2614
4,1.0008875655737284,8767,0.9489547417290595,2667
5,0.904862352606831,8848,0.8419303650225209,2695
6,0.8530377565465018,8888,0.7802242659012312,2708
7,0.8027780990092597,8932,0.7200079354073393,2725
8,0.7681851508703624,8941,0.6758191019897796,2740
9,0.7379718060285968,8980,0.6409790601780434,2754
10,0.7048834001346355,8989,0.597303170380399,2775
11,0.6848916360613551,9017,0.5678037595146844,2785
12,0.6691738306834716,9027,0.5405388806813752,2796
13,0.6583408922648886,9043,0.5208752284114904,2799
14,0.6465806189140622,9044,0.5033025474340274,2803
15,0.6408476492667967,9056,0.49153890351308294,2808
16,0.6291898142729568,9058,0.4723980448960599,2810
17,0.6267155284249283,9064,0.46494969833968935,2812
18,0.617016517094509,9073,0.44733229744316483,2825
19,0.6092049565594269,9077,0.43312137882936846,2827
20,0.6051363506175523,9096,0.42156812230293456,2834
21,0.5997686653948504,9104,0.40839115328209313,2838
22,0.5926696462998374,9110,0.3941404083249552,2852
23,0.5914548441529309,9102,0.3855416321334461,2852
24,0.5845164645063288,9107,0.3747260127361452,2856
25,0.5841682871414512,9112,0.36765683491605106,2863
26,0.5809037317356479,9119,0.36255383410504827,2859
27,0.5783214888699515,9118,0.3534169476007476,2863
28,0.5798346848018981,9121,0.3489261459678792,2867
29,0.5727032276521724,9123,0.33720560506814107,2877
